CURSAT ver 2.1 Edition #2   Date:         03-05-2020      Hour:       15:28:29
Input file:   data.txt
Accumulation pseudoreplicates' file:      accum_data_shuf.txt
Dataset pseudoreplicates' file:           pseud_data_shuf.txt
Number of columns (sampling events):       5 
Number of rows (species, OTUs, objects,...):             4 
Number of repetitions:       100 
Seed number:  12348695
Log filename:               data_shuf_log.txt

Resampling without replacement

Replicate	Sampling event	Accumulation per n. of events	
 1 	 1 	 3 	
 1 	 2 	 3 	
 1 	 3 	 4 	
 1 	 4 	 4 	
 1 	 5 	 4 	
 2 	 1 	 3 	
 2 	 2 	 4 	
 2 	 3 	 4 	
 2 	 4 	 4 	
 2 	 5 	 4 	
 3 	 1 	 3 	
 3 	 2 	 4 	
 3 	 3 	 4 	
 3 	 4 	 4 	
 3 	 5 	 4 	
 4 	 1 	 3 	
 4 	 2 	 4 	
 4 	 3 	 4 	
 4 	 4 	 4 	
 4 	 5 	 4 	
 5 	 1 	 3 	
 5 	 2 	 4 	
 5 	 3 	 4 	
 5 	 4 	 4 	
 5 	 5 	 4 	
 6 	 1 	 3 	
 6 	 2 	 4 	
 6 	 3 	 4 	
 6 	 4 	 4 	
 6 	 5 	 4 	
 7 	 1 	 3 	
 7 	 2 	 4 	
 7 	 3 	 4 	
 7 	 4 	 4 	
 7 	 5 	 4 	
 8 	 1 	 3 	
 8 	 2 	 4 	
 8 	 3 	 4 	
 8 	 4 	 4 	
 8 	 5 	 4 	
 9 	 1 	 3 	
 9 	 2 	 4 	
 9 	 3 	 4 	
 9 	 4 	 4 	
 9 	 5 	 4 	
 10 	 1 	 3 	
 10 	 2 	 4 	
 10 	 3 	 4 	
 10 	 4 	 4 	
 10 	 5 	 4 	
 11 	 1 	 3 	
 11 	 2 	 3 	
 11 	 3 	 4 	
 11 	 4 	 4 	
 11 	 5 	 4 	
 12 	 1 	 3 	
 12 	 2 	 4 	
 12 	 3 	 4 	
 12 	 4 	 4 	
 12 	 5 	 4 	
 13 	 1 	 3 	
 13 	 2 	 4 	
 13 	 3 	 4 	
 13 	 4 	 4 	
 13 	 5 	 4 	
 14 	 1 	 3 	
 14 	 2 	 4 	
 14 	 3 	 4 	
 14 	 4 	 4 	
 14 	 5 	 4 	
 15 	 1 	 3 	
 15 	 2 	 4 	
 15 	 3 	 4 	
 15 	 4 	 4 	
 15 	 5 	 4 	
 16 	 1 	 3 	
 16 	 2 	 4 	
 16 	 3 	 4 	
 16 	 4 	 4 	
 16 	 5 	 4 	
 17 	 1 	 3 	
 17 	 2 	 4 	
 17 	 3 	 4 	
 17 	 4 	 4 	
 17 	 5 	 4 	
 18 	 1 	 3 	
 18 	 2 	 4 	
 18 	 3 	 4 	
 18 	 4 	 4 	
 18 	 5 	 4 	
 19 	 1 	 3 	
 19 	 2 	 4 	
 19 	 3 	 4 	
 19 	 4 	 4 	
 19 	 5 	 4 	
 20 	 1 	 3 	
 20 	 2 	 4 	
 20 	 3 	 4 	
 20 	 4 	 4 	
 20 	 5 	 4 	
 21 	 1 	 3 	
 21 	 2 	 4 	
 21 	 3 	 4 	
 21 	 4 	 4 	
 21 	 5 	 4 	
 22 	 1 	 3 	
 22 	 2 	 3 	
 22 	 3 	 4 	
 22 	 4 	 4 	
 22 	 5 	 4 	
 23 	 1 	 3 	
 23 	 2 	 4 	
 23 	 3 	 4 	
 23 	 4 	 4 	
 23 	 5 	 4 	
 24 	 1 	 3 	
 24 	 2 	 4 	
 24 	 3 	 4 	
 24 	 4 	 4 	
 24 	 5 	 4 	
 25 	 1 	 3 	
 25 	 2 	 4 	
 25 	 3 	 4 	
 25 	 4 	 4 	
 25 	 5 	 4 	
 26 	 1 	 3 	
 26 	 2 	 4 	
 26 	 3 	 4 	
 26 	 4 	 4 	
 26 	 5 	 4 	
