CURSAT ver 2.1 Edition #1   Date:         03-05-2020      Hour:       14:58:39
Input file:   incidence.txt
Accumulation pseudoreplicates' file:      accum_incidence_boot.txt
Dataset pseudoreplicates' file:           pseud_incidence_boot.txt
Number of columns (sampling events):       10 
Number of rows (species, OTUs, ojects,...):              12 
Number of repetitions:       100 
Seed number:  12348695

Bootstrap (resampling with replacement)

Bootstrap replicate	Sampling event	Accumulation per n. of events	
 1 	 1 	 6 	
 1 	 2 	 8 	
 1 	 3 	 11 	
 1 	 4 	 12 	
 1 	 5 	 12 	
 1 	 6 	 12 	
 1 	 7 	 12 	
 1 	 8 	 12 	
 1 	 9 	 12 	
 1 	 10 	 12 	
 2 	 1 	 7 	
 2 	 2 	 11 	
 2 	 3 	 11 	
 2 	 4 	 11 	
 2 	 5 	 12 	
 2 	 6 	 12 	
 2 	 7 	 12 	
 2 	 8 	 12 	
 2 	 9 	 12 	
 2 	 10 	 12 	
 3 	 1 	 8 	
 3 	 2 	 10 	
 3 	 3 	 12 	
 3 	 4 	 12 	
 3 	 5 	 12 	
 3 	 6 	 12 	
 3 	 7 	 12 	
 3 	 8 	 12 	
 3 	 9 	 12 	
 3 	 10 	 12 	
 4 	 1 	 6 	
 4 	 2 	 8 	
 4 	 3 	 8 	
 4 	 4 	 8 	
 4 	 5 	 8 	
 4 	 6 	 12 	
 4 	 7 	 12 	
 4 	 8 	 12 	
 4 	 9 	 12 	
 4 	 10 	 12 	
 5 	 1 	 6 	
 5 	 2 	 10 	
 5 	 3 	 10 	
 5 	 4 	 12 	
 5 	 5 	 12 	
 5 	 6 	 12 	
 5 	 7 	 12 	
 5 	 8 	 12 	
 5 	 9 	 12 	
 5 	 10 	 12 	
 6 	 1 	 5 	
 6 	 2 	 9 	
 6 	 3 	 12 	
 6 	 4 	 12 	
 6 	 5 	 12 	
 6 	 6 	 12 	
 6 	 7 	 12 	
 6 	 8 	 12 	
 6 	 9 	 12 	
 6 	 10 	 12 	
 7 	 1 	 6 	
 7 	 2 	 10 	
 7 	 3 	 12 	
 7 	 4 	 12 	
 7 	 5 	 12 	
 7 	 6 	 12 	
 7 	 7 	 12 	
 7 	 8 	 12 	
 7 	 9 	 12 	
 7 	 10 	 12 	
 8 	 1 	 6 	
 8 	 2 	 8 	
 8 	 3 	 8 	
 8 	 4 	 8 	
 8 	 5 	 11 	
 8 	 6 	 11 	
 8 	 7 	 12 	
 8 	 8 	 12 	
 8 	 9 	 12 	
 8 	 10 	 12 	
 9 	 1 	 4 	
 9 	 2 	 7 	
 9 	 3 	 10 	
 9 	 4 	 12 	
 9 	 5 	 12 	
 9 	 6 	 12 	
 9 	 7 	 12 	
 9 	 8 	 12 	
 9 	 9 	 12 	
 9 	 10 	 12 	
 10 	 1 	 4 	
 10 	 2 	 7 	
 10 	 3 	 9 	
 10 	 4 	 10 	
 10 	 5 	 12 	
 10 	 6 	 12 	
 10 	 7 	 12 	
 10 	 8 	 12 	
 10 	 9 	 12 	
 10 	 10 	 12 	
 11 	 1 	 7 	
 11 	 2 	 10 	
 11 	 3 	 11 	
 11 	 4 	 11 	
 11 	 5 	 11 	
