CURSAT ver 2.1 Edition #1   Date:         03-05-2020      Hour:       14:59:24
Input file:   incidence.txt
Accumulation pseudoreplicates' file:      accum_incidence_shuf.txt
Dataset pseudoreplicates' file:           pseud_incidence_shuf.txt
Number of columns (sampling events):       10 
Number of rows (species, OTUs, ojects,...):              12 
Number of repetitions:       100 
Seed number:  12348695

Resampling without replacement

Replicate	Sampling event	Accumulation per n. of events	
 1 	 1 	 6 	
 1 	 2 	 10 	
 1 	 3 	 12 	
 1 	 4 	 12 	
 1 	 5 	 12 	
 1 	 6 	 12 	
 1 	 7 	 12 	
 1 	 8 	 12 	
 1 	 9 	 12 	
 1 	 10 	 12 	
 2 	 1 	 6 	
 2 	 2 	 10 	
 2 	 3 	 11 	
 2 	 4 	 12 	
 2 	 5 	 12 	
 2 	 6 	 12 	
 2 	 7 	 12 	
 2 	 8 	 12 	
 2 	 9 	 12 	
 2 	 10 	 12 	
 3 	 1 	 5 	
 3 	 2 	 8 	
 3 	 3 	 10 	
 3 	 4 	 10 	
 3 	 5 	 12 	
 3 	 6 	 12 	
 3 	 7 	 12 	
 3 	 8 	 12 	
 3 	 9 	 12 	
 3 	 10 	 12 	
 4 	 1 	 4 	
 4 	 2 	 10 	
 4 	 3 	 11 	
 4 	 4 	 12 	
 4 	 5 	 12 	
 4 	 6 	 12 	
 4 	 7 	 12 	
 4 	 8 	 12 	
 4 	 9 	 12 	
 4 	 10 	 12 	
 5 	 1 	 6 	
 5 	 2 	 11 	
 5 	 3 	 11 	
 5 	 4 	 11 	
 5 	 5 	 11 	
 5 	 6 	 12 	
 5 	 7 	 12 	
 5 	 8 	 12 	
 5 	 9 	 12 	
 5 	 10 	 12 	
 6 	 1 	 4 	
 6 	 2 	 9 	
 6 	 3 	 10 	
 6 	 4 	 12 	
 6 	 5 	 12 	
 6 	 6 	 12 	
 6 	 7 	 12 	
 6 	 8 	 12 	
 6 	 9 	 12 	
 6 	 10 	 12 	
 7 	 1 	 7 	
 7 	 2 	 10 	
 7 	 3 	 10 	
 7 	 4 	 11 	
 7 	 5 	 11 	
 7 	 6 	 11 	
 7 	 7 	 11 	
 7 	 8 	 12 	
 7 	 9 	 12 	
 7 	 10 	 12 	
 8 	 1 	 4 	
 8 	 2 	 7 	
 8 	 3 	 11 	
 8 	 4 	 12 	
 8 	 5 	 12 	
 8 	 6 	 12 	
 8 	 7 	 12 	
 8 	 8 	 12 	
 8 	 9 	 12 	
 8 	 10 	 12 	
 9 	 1 	 6 	
 9 	 2 	 10 	
 9 	 3 	 11 	
 9 	 4 	 12 	
 9 	 5 	 12 	
 9 	 6 	 12 	
 9 	 7 	 12 	
 9 	 8 	 12 	
 9 	 9 	 12 	
 9 	 10 	 12 	
 10 	 1 	 6 	
 10 	 2 	 11 	
 10 	 3 	 11 	
 10 	 4 	 11 	
 10 	 5 	 11 	
 10 	 6 	 12 	
 10 	 7 	 12 	
 10 	 8 	 12 	
 10 	 9 	 12 	
 10 	 10 	 12 	
 11 	 1 	 5 	
 11 	 2 	 12 	
 11 	 3 	 12 	
 11 	 4 	 12 	
 11 	 5 	 12 	
 11 	 6 	 12 	
 11 	 7 	 12 	
 11 	 8 	 12 	
 11 	 9 	 12 	
 11 	 10 	 12 	
 12 	 1 	 6 	
 12 	 2 	 8 	
 12 	 3 	 11 	
 12 	 4 	 12 	
 12 	 5 	 12 	
 12 	 6 	 12 	
 12 	 7 	 12 	
 12 	 8 	 12 	
 12 	 9 	 12 	
 12 	 10 	 12 	
 13 	 1 	 6 	
 13 	 2 	 9 	
 13 	 3 	 11 	
 13 	 4 	 12 	
 13 	 5 	 12 	
 13 	 6 	 12 	
 13 	 7 	 12 	
 13 	 8 	 12 	
 13 	 9 	 12 	
 13 	 10 	 12 	
 14 	 1 	 5 	
 14 	 2 	 9 	
 14 	 3 	 11 	
 14 	 4 	 11 	
 14 	 5 	 12 	
 14 	 6 	 12 	
 14 	 7 	 12 	
 14 	 8 	 12 	
 14 	 9 	 12 	
 14 	 10 	 12 	
 15 	 1 	 3 	
 15 	 2 	 5 	
 15 	 3 	 10 	
 15 	 4 	 11 	
 15 	 5 	 12 	
 15 	 6 	 12 	
 15 	 7 	 12 	
 15 	 8 	 12 	
 15 	 9 	 12 	
 15 	 10 	 12 	
 16 	 1 	 4 	
 16 	 2 	 10 	
 16 	 3 	 10 	
 16 	 4 	 12 	
 16 	 5 	 12 	
 16 	 6 	 12 	
 16 	 7 	 12 	
 16 	 8 	 12 	
 16 	 9 	 12 	
 16 	 10 	 12 	
 17 	 1 	 5 	
 17 	 2 	 12 	
 17 	 3 	 12 	
 17 	 4 	 12 	
 17 	 5 	 12 	
 17 	 6 	 12 	
 17 	 7 	 12 	
 17 	 8 	 12 	
 17 	 9 	 12 	
 17 	 10 	 12 	
 18 	 1 	 6 	
 18 	 2 	 8 	
 18 	 3 	 11 	
 18 	 4 	 12 	
 18 	 5 	 12 	
 18 	 6 	 12 	
 18 	 7 	 12 	
 18 	 8 	 12 	
 18 	 9 	 12 	
 18 	 10 	 12 	
 19 	 1 	 6 	
 19 	 2 	 9 	
 19 	 3 	 11 	
 19 	 4 	 12 	
 19 	 5 	 12 	
 19 	 6 	 12 	
 19 	 7 	 12 	
 19 	 8 	 12 	
 19 	 9 	 12 	
 19 	 10 	 12 	
 20 	 1 	 5 	
 20 	 2 	 9 	
 20 	 3 	 11 	
 20 	 4 	 11 	
 20 	 5 	 12 	
 20 	 6 	 12 	
 20 	 7 	 12 	
 20 	 8 	 12 	
 20 	 9 	 12 	
 20 	 10 	 12 	
 21 	 1 	 3 	
 21 	 2 	 5 	
 21 	 3 	 10 	
 21 	 4 	 11 	
 21 	 5 	 12 	
 21 	 6 	 12 	
 21 	 7 	 12 	
 21 	 8 	 12 	
 21 	 9 	 12 	
 21 	 10 	 12 	
 22 	 1 	 4 	
 22 	 2 	 10 	
 22 	 3 	 10 	
 22 	 4 	 12 	
 22 	 5 	 12 	
 22 	 6 	 12 	
 22 	 7 	 12 	
 22 	 8 	 12 	
 22 	 9 	 12 	
 22 	 10 	 12 	
 23 	 1 	 5 	
 23 	 2 	 12 	
 23 	 3 	 12 	
 23 	 4 	 12 	
 23 	 5 	 12 	
 23 	 6 	 12 	
 23 	 7 	 12 	
 23 	 8 	 12 	
 23 	 9 	 12 	
 23 	 10 	 12 	
 24 	 1 	 6 	
 24 	 2 	 8 	
 24 	 3 	 11 	
 24 	 4 	 12 	
 24 	 5 	 12 	
 24 	 6 	 12 	
 24 	 7 	 12 	
 24 	 8 	 12 	
 24 	 9 	 12 	
 24 	 10 	 12 	
 25 	 1 	 6 	
 25 	 2 	 9 	
 25 	 3 	 11 	
 25 	 4 	 12 	
 25 	 5 	 12 	
 25 	 6 	 12 	
 25 	 7 	 12 	
 25 	 8 	 12 	
 25 	 9 	 12 	
 25 	 10 	 12 	
 26 	 1 	 5 	
 26 	 2 	 9 	
 26 	 3 	 11 	
 26 	 4 	 11 	
 26 	 5 	 12 	
 26 	 6 	 12 	
 26 	 7 	 12 	
 26 	 8 	 12 	
 26 	 9 	 12 	
 26 	 10 	 12 	
 27 	 1 	 3 	
 27 	 2 	 5 	
 27 	 3 	 10 	
 27 	 4 	 11 	
 27 	 5 	 12 	
 27 	 6 	 12 	
 27 	 7 	 12 	
 27 	 8 	 12 	
 27 	 9 	 12 	
 27 	 10 	 12 	
 28 	 1 	 4 	
 28 	 2 	 10 	
 28 	 3 	 10 	
 28 	 4 	 12 	
 28 	 5 	 12 	
 28 	 6 	 12 	
 28 	 7 	 12 	
 28 	 8 	 12 	
 28 	 9 	 12 	
 28 	 10 	 12 	
 29 	 1 	 5 	
 29 	 2 	 12 	
 29 	 3 	 12 	
 29 	 4 	 12 	
 29 	 5 	 12 	
 29 	 6 	 12 	
 29 	 7 	 12 	
 29 	 8 	 12 	
 29 	 9 	 12 	
 29 	 10 	 12 	
 30 	 1 	 6 	
 30 	 2 	 8 	
 30 	 3 	 11 	
 30 	 4 	 12 	
 30 	 5 	 12 	
 30 	 6 	 12 	
 30 	 7 	 12 	
 30 	 8 	 12 	
 30 	 9 	 12 	
 30 	 10 	 12 	
 31 	 1 	 6 	
 31 	 2 	 9 	
 31 	 3 	 11 	
 31 	 4 	 12 	
 31 	 5 	 12 	
 31 	 6 	 12 	
 31 	 7 	 12 	
 31 	 8 	 12 	
 31 	 9 	 12 	
 31 	 10 	 12 	
 32 	 1 	 5 	
 32 	 2 	 9 	
 32 	 3 	 11 	
 32 	 4 	 11 	
 32 	 5 	 12 	
 32 	 6 	 12 	
 32 	 7 	 12 	
 32 	 8 	 12 	
 32 	 9 	 12 	
 32 	 10 	 12 	
 33 	 1 	 3 	
 33 	 2 	 5 	
 33 	 3 	 10 	
 33 	 4 	 11 	
 33 	 5 	 12 	
 33 	 6 	 12 	
 33 	 7 	 12 	
 33 	 8 	 12 	
 33 	 9 	 12 	
 33 	 10 	 12 	
 34 	 1 	 4 	
 34 	 2 	 10 	
 34 	 3 	 10 	
 34 	 4 	 12 	
 34 	 5 	 12 	
 34 	 6 	 12 	
 34 	 7 	 12 	
 34 	 8 	 12 	
 34 	 9 	 12 	
 34 	 10 	 12 	
 35 	 1 	 5 	
 35 	 2 	 12 	
 35 	 3 	 12 	
 35 	 4 	 12 	
 35 	 5 	 12 	
 35 	 6 	 12 	
 35 	 7 	 12 	
 35 	 8 	 12 	
 35 	 9 	 12 	
 35 	 10 	 12 	
 36 	 1 	 6 	
 36 	 2 	 8 	
 36 	 3 	 11 	
 36 	 4 	 12 	
 36 	 5 	 12 	
 36 	 6 	 12 	
 36 	 7 	 12 	
 36 	 8 	 12 	
 36 	 9 	 12 	
 36 	 10 	 12 	
 37 	 1 	 6 	
 37 	 2 	 9 	
 37 	 3 	 11 	
 37 	 4 	 12 	
 37 	 5 	 12 	
 37 	 6 	 12 	
 37 	 7 	 12 	
 37 	 8 	 12 	
 37 	 9 	 12 	
 37 	 10 	 12 	
 38 	 1 	 5 	
 38 	 2 	 9 	
 38 	 3 	 11 	
 38 	 4 	 11 	
 38 	 5 	 12 	
 38 	 6 	 12 	
 38 	 7 	 12 	
 38 	 8 	 12 	
 38 	 9 	 12 	
 38 	 10 	 12 	
 39 	 1 	 3 	
 39 	 2 	 5 	
 39 	 3 	 10 	
 39 	 4 	 11 	
 39 	 5 	 12 	
 39 	 6 	 12 	
 39 	 7 	 12 	
 39 	 8 	 12 	
 39 	 9 	 12 	
 39 	 10 	 12 	
 40 	 1 	 4 	
 40 	 2 	 10 	
 40 	 3 	 10 	
 40 	 4 	 12 	
 40 	 5 	 12 	
 40 	 6 	 12 	
 40 	 7 	 12 	
 40 	 8 	 12 	
 40 	 9 	 12 	
 40 	 10 	 12 	
 41 	 1 	 5 	
 41 	 2 	 12 	
 41 	 3 	 12 	
 41 	 4 	 12 	
 41 	 5 	 12 	
 41 	 6 	 12 	
 41 	 7 	 12 	
 41 	 8 	 12 	
 41 	 9 	 12 	
 41 	 10 	 12 	
 42 	 1 	 6 	
 42 	 2 	 8 	
 42 	 3 	 11 	
 42 	 4 	 12 	
 42 	 5 	 12 	
 42 	 6 	 12 	
 42 	 7 	 12 	
 42 	 8 	 12 	
 42 	 9 	 12 	
 42 	 10 	 12 	
 43 	 1 	 6 	
 43 	 2 	 9 	
 43 	 3 	 11 	
 43 	 4 	 12 	
 43 	 5 	 12 	
 43 	 6 	 12 	
 43 	 7 	 12 	
 43 	 8 	 12 	
 43 	 9 	 12 	
 43 	 10 	 12 	
 44 	 1 	 5 	
 44 	 2 	 9 	
 44 	 3 	 11 	
 44 	 4 	 11 	
 44 	 5 	 12 	
 44 	 6 	 12 	
 44 	 7 	 12 	
 44 	 8 	 12 	
 44 	 9 	 12 	
 44 	 10 	 12 	
 45 	 1 	 3 	
 45 	 2 	 5 	
 45 	 3 	 10 	
 45 	 4 	 11 	
 45 	 5 	 12 	
 45 	 6 	 12 	
 45 	 7 	 12 	
 45 	 8 	 12 	
 45 	 9 	 12 	
 45 	 10 	 12 	
 46 	 1 	 4 	
 46 	 2 	 10 	
 46 	 3 	 10 	
 46 	 4 	 12 	
 46 	 5 	 12 	
 46 	 6 	 12 	
 46 	 7 	 12 	
 46 	 8 	 12 	
 46 	 9 	 12 	
 46 	 10 	 12 	
 47 	 1 	 5 	
 47 	 2 	 12 	
 47 	 3 	 12 	
 47 	 4 	 12 	
 47 	 5 	 12 	
 47 	 6 	 12 	
 47 	 7 	 12 	
 47 	 8 	 12 	
 47 	 9 	 12 	
 47 	 10 	 12 	
 48 	 1 	 6 	
 48 	 2 	 8 	
 48 	 3 	 11 	
 48 	 4 	 12 	
 48 	 5 	 12 	
 48 	 6 	 12 	
 48 	 7 	 12 	
 48 	 8 	 12 	
 48 	 9 	 12 	
 48 	 10 	 12 	
 49 	 1 	 6 	
 49 	 2 	 9 	
 49 	 3 	 11 	
 49 	 4 	 12 	
 49 	 5 	 12 	
 49 	 6 	 12 	
 49 	 7 	 12 	
 49 	 8 	 12 	
 49 	 9 	 12 	
 49 	 10 	 12 	
 50 	 1 	 5 	
 50 	 2 	 9 	
 50 	 3 	 11 	
 50 	 4 	 11 	
 50 	 5 	 12 	
 50 	 6 	 12 	
 50 	 7 	 12 	
 50 	 8 	 12 	
 50 	 9 	 12 	
 50 	 10 	 12 	
 51 	 1 	 3 	
 51 	 2 	 5 	
 51 	 3 	 10 	
 51 	 4 	 11 	
 51 	 5 	 12 	
 51 	 6 	 12 	
 51 	 7 	 12 	
 51 	 8 	 12 	
 51 	 9 	 12 	
 51 	 10 	 12 	
 52 	 1 	 4 	
 52 	 2 	 10 	
 52 	 3 	 10 	
 52 	 4 	 12 	
 52 	 5 	 12 	
 52 	 6 	 12 	
 52 	 7 	 12 	
 52 	 8 	 12 	
 52 	 9 	 12 	
 52 	 10 	 12 	
 53 	 1 	 5 	
 53 	 2 	 12 	
 53 	 3 	 12 	
