CURSAT ver 2.1              Date:         03-02-2020      Hour:       13:05:34
Input file:   seedbank.txt
Accumulation pseudoreplicates' file:      accum_seedbank_boot.txt
Dataset pseudoreplicates' file:           pseud_seedbank_boot.txt
Number of columns (sampling events):       121 
Number of rows (species, OTUs, ojects,...):              34 
Number of repetitions:       100 
Seed number:  12348695

Bootstrap (resampling with replacement)

Bootstrap replicate	Sampling event	Accumulation per n. of events	
 1 	 1 	 4 	
 1 	 2 	 8 	
 1 	 3 	 10 	
 1 	 4 	 11 	
 1 	 5 	 13 	
 1 	 6 	 14 	
 1 	 7 	 14 	
 1 	 8 	 16 	
 1 	 9 	 16 	
 1 	 10 	 17 	
 1 	 11 	 17 	
 1 	 12 	 17 	
 1 	 13 	 17 	
 1 	 14 	 17 	
 1 	 15 	 19 	
 1 	 16 	 19 	
 1 	 17 	 19 	
 1 	 18 	 19 	
 1 	 19 	 19 	
 1 	 20 	 21 	
 1 	 21 	 21 	
 1 	 22 	 21 	
 1 	 23 	 21 	
 1 	 24 	 21 	
 1 	 25 	 22 	
 1 	 26 	 23 	
 1 	 27 	 23 	
 1 	 28 	 23 	
 1 	 29 	 23 	
 1 	 30 	 23 	
 1 	 31 	 23 	
 1 	 32 	 23 	
 1 	 33 	 23 	
 1 	 34 	 23 	
 1 	 35 	 23 	
 1 	 36 	 23 	
 1 	 37 	 24 	
 1 	 38 	 24 	
 1 	 39 	 24 	
 1 	 40 	 24 	
 1 	 41 	 24 	
 1 	 42 	 24 	
 1 	 43 	 25 	
 1 	 44 	 25 	
 1 	 45 	 25 	
 1 	 46 	 25 	
 1 	 47 	 25 	
 1 	 48 	 25 	
 1 	 49 	 25 	
 1 	 50 	 25 	
 1 	 51 	 25 	
 1 	 52 	 25 	
 1 	 53 	 25 	
 1 	 54 	 25 	
 1 	 55 	 25 	
 1 	 56 	 25 	
 1 	 57 	 26 	
 1 	 58 	 26 	
 1 	 59 	 26 	
 1 	 60 	 26 	
 1 	 61 	 28 	
 1 	 62 	 28 	
 1 	 63 	 28 	
 1 	 64 	 28 	
 1 	 65 	 28 	
 1 	 66 	 28 	
 1 	 67 	 28 	
 1 	 68 	 28 	
 1 	 69 	 28 	
 1 	 70 	 28 	
 1 	 71 	 31 	
 1 	 72 	 31 	
 1 	 73 	 31 	
 1 	 74 	 31 	
 1 	 75 	 31 	
 1 	 76 	 31 	
 1 	 77 	 31 	
 1 	 78 	 32 	
 1 	 79 	 32 	
 1 	 80 	 32 	
 1 	 81 	 32 	
 1 	 82 	 32 	
 1 	 83 	 32 	
 1 	 84 	 32 	
 1 	 85 	 32 	
 1 	 86 	 32 	
 1 	 87 	 32 	
 1 	 88 	 32 	
 1 	 89 	 32 	
 1 	 90 	 32 	
 1 	 91 	 32 	
 1 	 92 	 32 	
 1 	 93 	 32 	
 1 	 94 	 32 	
 1 	 95 	 32 	
 1 	 96 	 32 	
 1 	 97 	 32 	
 1 	 98 	 32 	
 1 	 99 	 32 	
 1 	 100 	 32 	
 1 	 101 	 32 	
 1 	 102 	 32 	
 1 	 103 	 32 	
 1 	 104 	 32 	
 1 	 105 	 33 	
 1 	 106 	 33 	
 1 	 107 	 33 	
 1 	 108 	 33 	
 1 	 109 	 33 	
 1 	 110 	 33 	
 1 	 111 	 33 	
 1 	 112 	 33 	
 1 	 113 	 33 	
 1 	 114 	 33 	
 1 	 115 	 33 	
 1 	 116 	 33 	
 1 	 117 	 33 	
 1 	 118 	 33 	
 1 	 119 	 33 	
 1 	 120 	 33 	
 1 	 121 	 33 	
 2 	 1 	 1 	
 2 	 2 	 5 	
 2 	 3 	 6 	
 2 	 4 	 12 	
 2 	 5 	 14 	
 2 	 6 	 15 	
 2 	 7 	 16 	
 2 	 8 	 17 	
 2 	 9 	 17 	
 2 	 10 	 17 	
 2 	 11 	 19 	
 2 	 12 	 19 	
 2 	 13 	 19 	
 2 	 14 	 21 	
 2 	 15 	 22 	
 2 	 16 	 23 	
 2 	 17 	 23 	
 2 	 18 	 23 	
 2 	 19 	 23 	
 2 	 20 	 24 	
 2 	 21 	 25 	
 2 	 22 	 25 	
 2 	 23 	 25 	
 2 	 24 	 25 	
 2 	 25 	 25 	
 2 	 26 	 25 	
 2 	 27 	 25 	
 2 	 28 	 25 	
 2 	 29 	 25 	
 2 	 30 	 25 	
 2 	 31 	 26 	
 2 	 32 	 26 	
 2 	 33 	 26 	
 2 	 34 	 26 	
 2 	 35 	 26 	
 2 	 36 	 26 	
 2 	 37 	 26 	
 2 	 38 	 26 	
 2 	 39 	 27 	
 2 	 40 	 27 	
 2 	 41 	 27 	
 2 	 42 	 27 	
 2 	 43 	 27 	
 2 	 44 	 27 	
 2 	 45 	 27 	
 2 	 46 	 27 	
 2 	 47 	 27 	
 2 	 48 	 27 	
 2 	 49 	 27 	
 2 	 50 	 27 	
 2 	 51 	 27 	
 2 	 52 	 27 	
 2 	 53 	 27 	
 2 	 54 	 28 	
 2 	 55 	 28 	
 2 	 56 	 28 	
 2 	 57 	 28 	
 2 	 58 	 29 	
 2 	 59 	 29 	
 2 	 60 	 29 	
 2 	 61 	 29 	
 2 	 62 	 29 	
 2 	 63 	 29 	
 2 	 64 	 29 	
 2 	 65 	 29 	
 2 	 66 	 29 	
 2 	 67 	 29 	
 2 	 68 	 29 	
 2 	 69 	 29 	
 2 	 70 	 29 	
 2 	 71 	 30 	
 2 	 72 	 30 	
 2 	 73 	 31 	
 2 	 74 	 31 	
 2 	 75 	 31 	
 2 	 76 	 32 	
 2 	 77 	 32 	
 2 	 78 	 32 	
 2 	 79 	 32 	
 2 	 80 	 32 	
 2 	 81 	 32 	
 2 	 82 	 32 	
 2 	 83 	 32 	
 2 	 84 	 32 	
 2 	 85 	 32 	
 2 	 86 	 32 	
 2 	 87 	 32 	
 2 	 88 	 32 	
 2 	 89 	 32 	
 2 	 90 	 32 	
 2 	 91 	 32 	
 2 	 92 	 33 	
 2 	 93 	 33 	
 2 	 94 	 33 	
 2 	 95 	 33 	
 2 	 96 	 33 	
 2 	 97 	 33 	
 2 	 98 	 33 	
 2 	 99 	 33 	
 2 	 100 	 33 	
 2 	 101 	 33 	
 2 	 102 	 33 	
 2 	 103 	 33 	
 2 	 104 	 33 	
 2 	 105 	 33 	
 2 	 106 	 33 	
 2 	 107 	 33 	
 2 	 108 	 33 	
 2 	 109 	 33 	
 2 	 110 	 33 	
 2 	 111 	 33 	
 2 	 112 	 33 	
 2 	 113 	 33 	
 2 	 114 	 33 	
 2 	 115 	 33 	
 2 	 116 	 33 	
 2 	 117 	 33 	
 2 	 118 	 33 	
 2 	 119 	 33 	
 2 	 120 	 33 	
 2 	 121 	 33 	
 3 	 1 	 4 	
 3 	 2 	 8 	
 3 	 3 	 10 	
 3 	 4 	 12 	
 3 	 5 	 14 	
 3 	 6 	 16 	
 3 	 7 	 18 	
 3 	 8 	 18 	
 3 	 9 	 20 	
 3 	 10 	 20 	
 3 	 11 	 21 	
 3 	 12 	 21 	
 3 	 13 	 22 	
 3 	 14 	 23 	
 3 	 15 	 24 	
 3 	 16 	 25 	
 3 	 17 	 26 	
 3 	 18 	 26 	
 3 	 19 	 26 	
 3 	 20 	 26 	
 3 	 21 	 26 	
 3 	 22 	 26 	
 3 	 23 	 26 	
 3 	 24 	 26 	
 3 	 25 	 26 	
 3 	 26 	 26 	
 3 	 27 	 26 	
 3 	 28 	 26 	
 3 	 29 	 28 	
 3 	 30 	 28 	
 3 	 31 	 28 	
 3 	 32 	 28 	
 3 	 33 	 28 	
 3 	 34 	 30 	
 3 	 35 	 30 	
 3 	 36 	 30 	
 3 	 37 	 30 	
 3 	 38 	 30 	
 3 	 39 	 30 	
 3 	 40 	 30 	
 3 	 41 	 30 	
 3 	 42 	 30 	
 3 	 43 	 30 	
 3 	 44 	 30 	
 3 	 45 	 30 	
 3 	 46 	 30 	
 3 	 47 	 30 	
 3 	 48 	 30 	
 3 	 49 	 30 	
 3 	 50 	 30 	
 3 	 51 	 31 	
 3 	 52 	 31 	
 3 	 53 	 31 	
 3 	 54 	 31 	
 3 	 55 	 31 	
 3 	 56 	 31 	
 3 	 57 	 31 	
 3 	 58 	 31 	
 3 	 59 	 31 	
 3 	 60 	 31 	
 3 	 61 	 31 	
 3 	 62 	 31 	
 3 	 63 	 31 	
 3 	 64 	 31 	
 3 	 65 	 31 	
 3 	 66 	 31 	
 3 	 67 	 31 	
 3 	 68 	 31 	
