CURSAT ver 2.1              Date:         02-28-2020      Hour:       17:33:12
Input file:   seedbank.txt
Accumulation pseudoreplicates' file:      accum_seedbank_shuf.txt
Dataset pseudoreplicates' file:           pseud_seedbank_shuf.txt
Number of columns (sampling events):       121 
Number of rows (species, OTUs, ojects,...):              34 
Number of repetitions:       100 
Seed number:  12348695

Resampling without replacement

Replicate	Sampling event	Accumulation per n. of events	
 1 	 1 	 4 	
 1 	 2 	 8 	
 1 	 3 	 10 	
 1 	 4 	 11 	
 1 	 5 	 13 	
 1 	 6 	 14 	
 1 	 7 	 14 	
 1 	 8 	 14 	
 1 	 9 	 16 	
 1 	 10 	 16 	
 1 	 11 	 16 	
 1 	 12 	 16 	
 1 	 13 	 17 	
 1 	 14 	 19 	
 1 	 15 	 19 	
 1 	 16 	 19 	
 1 	 17 	 19 	
 1 	 18 	 19 	
 1 	 19 	 21 	
 1 	 20 	 21 	
 1 	 21 	 21 	
 1 	 22 	 22 	
 1 	 23 	 23 	
 1 	 24 	 23 	
 1 	 25 	 24 	
 1 	 26 	 24 	
 1 	 27 	 24 	
 1 	 28 	 24 	
 1 	 29 	 24 	
 1 	 30 	 25 	
 1 	 31 	 25 	
 1 	 32 	 25 	
 1 	 33 	 25 	
 1 	 34 	 25 	
 1 	 35 	 25 	
 1 	 36 	 26 	
 1 	 37 	 26 	
 1 	 38 	 26 	
 1 	 39 	 26 	
 1 	 40 	 26 	
 1 	 41 	 27 	
 1 	 42 	 27 	
 1 	 43 	 29 	
 1 	 44 	 29 	
 1 	 45 	 29 	
 1 	 46 	 29 	
 1 	 47 	 29 	
 1 	 48 	 31 	
 1 	 49 	 31 	
 1 	 50 	 31 	
 1 	 51 	 31 	
 1 	 52 	 31 	
 1 	 53 	 31 	
 1 	 54 	 31 	
 1 	 55 	 31 	
 1 	 56 	 31 	
 1 	 57 	 31 	
 1 	 58 	 31 	
 1 	 59 	 31 	
 1 	 60 	 31 	
 1 	 61 	 32 	
 1 	 62 	 32 	
 1 	 63 	 33 	
 1 	 64 	 33 	
 1 	 65 	 33 	
 1 	 66 	 33 	
 1 	 67 	 33 	
 1 	 68 	 33 	
 1 	 69 	 33 	
 1 	 70 	 33 	
 1 	 71 	 33 	
 1 	 72 	 33 	
 1 	 73 	 33 	
 1 	 74 	 33 	
 1 	 75 	 33 	
 1 	 76 	 33 	
 1 	 77 	 33 	
 1 	 78 	 33 	
 1 	 79 	 33 	
 1 	 80 	 33 	
 1 	 81 	 33 	
 1 	 82 	 33 	
 1 	 83 	 33 	
 1 	 84 	 33 	
 1 	 85 	 33 	
 1 	 86 	 33 	
 1 	 87 	 33 	
 1 	 88 	 33 	
 1 	 89 	 33 	
 1 	 90 	 33 	
 1 	 91 	 33 	
 1 	 92 	 33 	
 1 	 93 	 33 	
 1 	 94 	 33 	
 1 	 95 	 33 	
 1 	 96 	 33 	
 1 	 97 	 33 	
 1 	 98 	 33 	
 1 	 99 	 33 	
 1 	 100 	 33 	
 1 	 101 	 33 	
 1 	 102 	 33 	
 1 	 103 	 33 	
 1 	 104 	 33 	
 1 	 105 	 33 	
 1 	 106 	 33 	
 1 	 107 	 34 	
 1 	 108 	 34 	
 1 	 109 	 34 	
 1 	 110 	 34 	
 1 	 111 	 34 	
 1 	 112 	 34 	
 1 	 113 	 34 	
 1 	 114 	 34 	
 1 	 115 	 34 	
 1 	 116 	 34 	
 1 	 117 	 34 	
 1 	 118 	 34 	
 1 	 119 	 34 	
 1 	 120 	 34 	
 1 	 121 	 34 	
 2 	 1 	 2 	
 2 	 2 	 3 	
 2 	 3 	 6 	
 2 	 4 	 7 	
 2 	 5 	 8 	
 2 	 6 	 8 	
 2 	 7 	 10 	
 2 	 8 	 10 	
 2 	 9 	 15 	
 2 	 10 	 18 	
 2 	 11 	 18 	
 2 	 12 	 18 	
 2 	 13 	 18 	
 2 	 14 	 18 	
 2 	 15 	 19 	
 2 	 16 	 19 	
 2 	 17 	 20 	
 2 	 18 	 20 	
 2 	 19 	 20 	
 2 	 20 	 21 	
 2 	 21 	 21 	
 2 	 22 	 22 	
 2 	 23 	 22 	
 2 	 24 	 22 	
 2 	 25 	 22 	
 2 	 26 	 24 	
 2 	 27 	 24 	
 2 	 28 	 24 	
 2 	 29 	 24 	
 2 	 30 	 25 	
 2 	 31 	 26 	
 2 	 32 	 27 	
 2 	 33 	 28 	
 2 	 34 	 28 	
 2 	 35 	 28 	
 2 	 36 	 29 	
 2 	 37 	 29 	
 2 	 38 	 29 	
 2 	 39 	 29 	
 2 	 40 	 29 	
 2 	 41 	 29 	
 2 	 42 	 29 	
 2 	 43 	 29 	
 2 	 44 	 30 	
 2 	 45 	 30 	
 2 	 46 	 30 	
 2 	 47 	 30 	
 2 	 48 	 30 	
 2 	 49 	 30 	
 2 	 50 	 30 	
 2 	 51 	 30 	
 2 	 52 	 30 	
 2 	 53 	 30 	
 2 	 54 	 30 	
 2 	 55 	 30 	
 2 	 56 	 30 	
 2 	 57 	 30 	
 2 	 58 	 30 	
 2 	 59 	 30 	
 2 	 60 	 30 	
 2 	 61 	 30 	
 2 	 62 	 30 	
 2 	 63 	 31 	
 2 	 64 	 31 	
 2 	 65 	 31 	
 2 	 66 	 31 	
 2 	 67 	 32 	
 2 	 68 	 32 	
 2 	 69 	 32 	
 2 	 70 	 32 	
 2 	 71 	 32 	
 2 	 72 	 32 	
 2 	 73 	 32 	
 2 	 74 	 32 	
 2 	 75 	 32 	
 2 	 76 	 32 	
 2 	 77 	 32 	
 2 	 78 	 32 	
 2 	 79 	 32 	
 2 	 80 	 32 	
 2 	 81 	 32 	
 2 	 82 	 32 	
 2 	 83 	 33 	
 2 	 84 	 33 	
 2 	 85 	 33 	
 2 	 86 	 33 	
 2 	 87 	 33 	
 2 	 88 	 33 	
 2 	 89 	 33 	
 2 	 90 	 33 	
 2 	 91 	 33 	
 2 	 92 	 33 	
 2 	 93 	 33 	
 2 	 94 	 33 	
 2 	 95 	 33 	
 2 	 96 	 33 	
 2 	 97 	 33 	
 2 	 98 	 33 	
 2 	 99 	 33 	
 2 	 100 	 33 	
 2 	 101 	 33 	
 2 	 102 	 33 	
 2 	 103 	 34 	
 2 	 104 	 34 	
 2 	 105 	 34 	
 2 	 106 	 34 	
 2 	 107 	 34 	
 2 	 108 	 34 	
 2 	 109 	 34 	
 2 	 110 	 34 	
 2 	 111 	 34 	
 2 	 112 	 34 	
 2 	 113 	 34 	
 2 	 114 	 34 	
 2 	 115 	 34 	
 2 	 116 	 34 	
 2 	 117 	 34 	
 2 	 118 	 34 	
 2 	 119 	 34 	
 2 	 120 	 34 	
 2 	 121 	 34 	
 3 	 1 	 5 	
 3 	 2 	 7 	
 3 	 3 	 9 	
 3 	 4 	 11 	
 3 	 5 	 11 	
 3 	 6 	 12 	
 3 	 7 	 13 	
 3 	 8 	 16 	
 3 	 9 	 16 	
 3 	 10 	 17 	
 3 	 11 	 18 	
 3 	 12 	 19 	
 3 	 13 	 19 	
 3 	 14 	 20 	
 3 	 15 	 21 	
 3 	 16 	 22 	
 3 	 17 	 23 	
 3 	 18 	 24 	
 3 	 19 	 27 	
 3 	 20 	 27 	
 3 	 21 	 27 	
 3 	 22 	 27 	
 3 	 23 	 27 	
 3 	 24 	 28 	
 3 	 25 	 28 	
 3 	 26 	 28 	
 3 	 27 	 28 	
 3 	 28 	 29 	
 3 	 29 	 29 	
 3 	 30 	 29 	
 3 	 31 	 29 	
 3 	 32 	 29 	
 3 	 33 	 29 	
 3 	 34 	 29 	
 3 	 35 	 29 	
 3 	 36 	 30 	
 3 	 37 	 30 	
 3 	 38 	 31 	
 3 	 39 	 31 	
 3 	 40 	 31 	
 3 	 41 	 31 	
 3 	 42 	 31 	
 3 	 43 	 31 	
 3 	 44 	 31 	
 3 	 45 	 32 	
 3 	 46 	 32 	
 3 	 47 	 32 	
 3 	 48 	 32 	
 3 	 49 	 32 	
 3 	 50 	 32 	
 3 	 51 	 32 	
 3 	 52 	 32 	
 3 	 53 	 32 	
 3 	 54 	 32 	
 3 	 55 	 32 	
 3 	 56 	 32 	
 3 	 57 	 32 	
 3 	 58 	 32 	
 3 	 59 	 32 	
 3 	 60 	 32 	
 3 	 61 	 32 	
 3 	 62 	 32 	
 3 	 63 	 32 	
 3 	 64 	 32 	
 3 	 65 	 32 	
 3 	 66 	 32 	
 3 	 67 	 32 	
 3 	 68 	 32 	
